Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1095,284,456,723,24725,231,26653,0.0,False
jmeter_view_issue,14409,151,146,172,186,252,113,2215,0.0,False
jmeter_view_dashboard,4232,70,68,85,89,103,48,228,0.0,False
jmeter_search_jql,4665,416,408,473,498,572,312,2449,0.0,False
jmeter_view_scrum_board,3389,103,107,132,138,170,63,372,0.0,False
jmeter_view_backlog,2533,270,263,307,324,387,219,2074,0.0,False
jmeter_create_issue:open_quick_create,1697,52,48,60,64,143,40,469,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,151,139,201,249,297,112,527,0.0,False
jmeter_view_kanban_board,2955,107,94,169,180,206,72,468,0.0,False
jmeter_browse_projects,3798,48,47,56,59,70,37,174,0.0,False
jmeter_edit_issue:open_editor,2113,79,77,91,95,108,64,152,0.0,False
jmeter_edit_issue:save_edit,2113,202,183,284,320,382,144,554,0.0,False
jmeter_view_project_summary,1266,87,81,100,120,214,61,557,0.0,False
jmeter_add_comment:open_comment,840,55,54,62,65,80,43,90,0.0,False
jmeter_add_comment:save_comment,840,208,194,283,318,364,163,476,0.0,False
jmeter_browse_boards,414,58,56,67,71,86,44,112,0.0,False
selenium_login:open_login_page,242,108,102,110,114,133,94,1078,0.0,False
selenium_login:login_and_view_dashboard,242,626,496,1124,1204,1262,456,3207,0.0,False
selenium_login,242,735,601,1231,1309,1371,561,4286,0.0,False
selenium_browse_projects_list,242,248,246,266,272,295,208,622,0.0,False
selenium_browse_boards_list,242,268,251,264,269,292,233,3805,0.0,False
selenium_create_issue:open_quick_create,242,641,639,652,660,675,420,1151,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,242,603,601,611,613,619,583,1105,0.0,False
selenium_create_issue:fill_and_submit_issue_form,242,1121,1109,1159,1172,1244,1005,3434,0.0,False
selenium_create_issue,242,1763,1749,1799,1810,1864,1638,4075,0.0,False
selenium_edit_issue:open_edit_issue_form,242,608,621,649,658,683,433,1484,0.0,False
selenium_edit_issue:save_edit_issue_form,242,562,536,699,723,735,462,777,0.0,False
selenium_edit_issue,242,1447,1419,1569,1594,1646,1318,2749,0.0,False
selenium_save_comment:open_comment_form,242,397,392,464,472,496,287,529,0.0,False
selenium_save_comment:submit_form,242,665,642,739,759,816,568,2174,0.0,False
selenium_save_comment,242,1160,1153,1244,1294,1392,967,2638,0.0,False
selenium_search_jql,242,1077,1068,1126,1139,1258,961,2949,0.0,False
selenium_view_scrum_board_backlog,242,1066,1103,1174,1190,1238,435,3665,0.0,False
selenium_view_scrum_board,242,785,816,897,935,968,262,3240,0.0,False
selenium_view_kanban_board,242,661,644,882,945,1191,323,1350,0.0,False
selenium_view_dashboard,242,457,455,609,644,723,187,758,0.0,False
selenium_view_issue,242,538,536,599,617,638,428,680,0.0,False
selenium_project_summary,242,402,387,466,504,553,297,2625,0.0,False
selenium_log_out,242,321,317,347,361,405,262,451,0.0,False
