Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,517,358,484,1040,4228,253,7240,0.0,False
jmeter_view_dashboard,831,92,88,110,128,203,56,287,0.0,False
jmeter_view_issue,2846,195,189,235,263,349,111,2670,0.0,False
jmeter_create_issue:open_quick_create,336,93,83,106,115,407,69,837,0.0,False
jmeter_search_jql,924,474,445,532,578,841,355,3718,0.0,False
jmeter_view_scrum_board,669,125,115,178,215,298,27,2132,21.0,False
jmeter_create_issue:fill_and_submit_issue_form,336,173,159,201,230,441,110,1966,0.0,False
jmeter_view_kanban_board,574,117,122,201,220,313,26,882,28.999999999999996,False
jmeter_view_backlog,492,293,337,406,457,669,20,5769,26.0,False
jmeter_browse_projects,737,55,54,66,73,107,38,462,0.0,False
jmeter_edit_issue:open_editor,412,111,102,134,149,205,69,763,0.0,False
jmeter_edit_issue:save_edit,412,263,255,310,341,641,150,902,23.0,False
jmeter_view_project_summary,246,109,105,135,154,291,67,321,0.0,False
jmeter_add_comment:open_comment,160,71,64,90,100,174,47,570,0.0,False
jmeter_add_comment:save_comment,160,242,242,297,329,401,160,495,28.999999999999996,False
jmeter_browse_boards,74,63,64,95,115,148,14,198,20.0,False
selenium_login:open_login_page,9,922,129,2365,2610,2807,97,2856,0.0,False
selenium_login:login_and_view_dashboard,9,1289,541,3262,3577,3830,478,3893,0.0,False
selenium_login,9,2211,671,5628,6189,6638,576,6750,0.0,False
selenium_browse_projects_list,9,348,268,529,604,665,221,680,0.0,False
selenium_browse_boards_list,9,14506,1986,41368,41519,41641,250,41671,33.0,False
selenium_create_issue:open_quick_create,9,696,650,825,847,865,635,869,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,9,592,590,601,602,603,584,603,0.0,False
selenium_create_issue:fill_and_submit_issue_form,9,1087,1074,1164,1171,1176,948,1177,0.0,False
selenium_create_issue,9,1783,1777,1891,1948,1994,1584,2005,0.0,False
selenium_edit_issue:open_edit_issue_form,9,677,690,944,965,983,460,987,0.0,False
selenium_edit_issue:save_edit_issue_form,9,576,547,692,693,694,484,694,0.0,False
selenium_edit_issue,9,1724,1625,2153,2194,2227,1460,2235,0.0,False
selenium_save_comment:open_comment_form,9,360,339,460,463,465,279,466,0.0,False
selenium_save_comment:submit_form,9,995,651,1888,1909,1926,479,1930,0.0,False
selenium_save_comment,9,1538,1153,2464,2691,2873,955,2919,0.0,False
selenium_search_jql,9,1778,1330,2529,2720,2874,1142,2912,0.0,False
selenium_view_scrum_board_backlog,9,14886,2907,41180,41523,41797,771,41865,33.0,False
selenium_view_scrum_board,8,11494,1920,32948,47634,59382,770,62319,25.0,False
selenium_view_kanban_board,8,5660,766,20368,20373,20377,535,20378,25.0,False
selenium_view_dashboard,8,351,368,436,455,471,250,475,0.0,False
selenium_view_issue,8,526,525,601,619,633,448,637,0.0,False
selenium_project_summary,8,958,537,2088,2151,2201,328,2213,0.0,False
selenium_log_out,8,362,365,402,407,411,298,412,0.0,False
