Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,81,351,311,420,513,935,258,1250,0.0,False
jmeter_view_dashboard,26,96,87,105,120,228,76,262,0.0,False
jmeter_view_issue,99,237,215,284,301,575,162,1586,0.0,False
jmeter_search_jql,34,620,468,1160,1521,2137,371,2417,0.0,False
jmeter_view_scrum_board,23,156,107,199,328,946,39,1116,35.0,False
jmeter_create_issue:open_quick_create,12,150,80,409,441,449,64,451,0.0,False
jmeter_view_backlog,14,408,356,463,1165,2183,30,2437,36.0,False
jmeter_create_issue:fill_and_submit_issue_form,12,387,193,768,1326,1817,142,1940,0.0,False
jmeter_view_kanban_board,16,100,58,174,237,317,40,337,56.00000000000001,False
jmeter_browse_projects,20,66,62,79,87,116,51,123,0.0,False
jmeter_edit_issue:open_editor,13,203,125,503,603,631,108,638,0.0,False
jmeter_edit_issue:save_edit,13,307,264,471,518,551,213,559,54.0,False
jmeter_view_project_summary,7,139,115,209,210,211,88,211,0.0,False
jmeter_add_comment:open_comment,3,107,115,129,131,133,74,133,0.0,False
jmeter_add_comment:save_comment,3,312,278,390,404,415,239,418,33.0,False
selenium_login:open_login_page,1,496,496,496,496,496,496,496,0.0,False
selenium_login:login_and_view_dashboard,1,904,904,904,904,904,904,904,0.0,False
selenium_login,1,1401,1401,1401,1401,1401,1401,1401,0.0,False
selenium_browse_projects_list,1,425,425,425,425,425,425,425,0.0,False
selenium_browse_boards_list,1,41360,41360,41360,41360,41360,41360,41360,100.0,False
selenium_create_issue:open_quick_create,1,865,865,865,865,865,865,865,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1,584,584,584,584,584,584,584,0.0,False
selenium_create_issue:fill_and_submit_issue_form,1,1096,1096,1096,1096,1096,1096,1096,0.0,False
selenium_create_issue,1,1962,1962,1962,1962,1962,1962,1962,0.0,False
selenium_edit_issue:open_edit_issue_form,1,1169,1169,1169,1169,1169,1169,1169,0.0,False
selenium_edit_issue:save_edit_issue_form,1,587,587,587,587,587,587,587,0.0,False
selenium_edit_issue,1,2418,2418,2418,2418,2418,2418,2418,0.0,False
selenium_save_comment:open_comment_form,1,332,332,332,332,332,332,332,0.0,False
selenium_save_comment:submit_form,1,1812,1812,1812,1812,1812,1812,1812,0.0,False
selenium_save_comment,1,2318,2318,2318,2318,2318,2318,2318,0.0,False
selenium_search_jql,1,2343,2343,2343,2343,2343,2343,2343,0.0,False
