Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,286,276,321,353,483,234,540,0.0,False
jmeter_view_issue,1148,180,174,212,232,351,119,490,0.0,False
jmeter_search_jql,375,425,409,476,547,700,332,1140,0.0,False
jmeter_view_dashboard,331,84,78,106,123,192,59,352,0.0,False
jmeter_view_scrum_board,269,83,85,157,168,215,29,379,50.0,False
jmeter_view_backlog,193,173,32,347,379,570,20,649,54.0,False
jmeter_create_issue:open_quick_create,137,69,64,82,89,117,58,183,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,136,148,142,170,195,271,110,352,0.0,False
jmeter_view_kanban_board,225,89,103,169,213,254,29,299,47.0,False
jmeter_browse_projects,287,52,51,62,69,86,40,194,0.0,False
jmeter_edit_issue:open_editor,163,100,97,122,131,175,74,213,0.0,False
jmeter_edit_issue:save_edit,162,236,220,296,368,497,156,531,43.0,False
jmeter_view_project_summary,96,100,94,124,148,252,68,281,0.0,False
jmeter_add_comment:open_comment,60,64,60,74,88,123,50,140,0.0,False
jmeter_add_comment:save_comment,60,213,210,240,268,334,161,343,53.0,False
jmeter_browse_boards,24,68,64,90,140,267,17,302,33.0,False
selenium_login:open_login_page,3,315,335,449,463,474,133,477,0.0,False
selenium_login:login_and_view_dashboard,3,1438,812,2547,2764,2938,522,2981,0.0,False
selenium_login,3,1755,1149,2997,3228,3413,656,3459,0.0,False
selenium_browse_projects_list,3,416,358,583,611,633,250,639,0.0,False
selenium_browse_boards_list,3,28259,41101,41147,41152,41157,2518,41158,67.0,False
selenium_create_issue:open_quick_create,3,877,777,1077,1114,1144,702,1152,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,3,587,587,589,590,590,585,590,0.0,False
selenium_create_issue:fill_and_submit_issue_form,3,1114,1076,1214,1232,1246,1018,1249,0.0,False
selenium_create_issue,3,1992,2026,2142,2156,2168,1779,2171,0.0,False
selenium_edit_issue:open_edit_issue_form,3,669,474,976,1038,1088,431,1101,0.0,False
selenium_edit_issue:save_edit_issue_form,3,528,527,554,558,560,496,561,0.0,False
selenium_edit_issue,3,1771,1634,2062,2116,2158,1511,2169,0.0,False
selenium_save_comment:open_comment_form,3,389,382,416,420,423,360,424,0.0,False
selenium_save_comment:submit_form,3,1051,685,1643,1762,1858,586,1882,0.0,False
selenium_save_comment,3,1548,1193,2114,2229,2321,1106,2344,0.0,False
selenium_search_jql,3,2250,2607,2917,2955,2986,1148,2994,0.0,False
selenium_view_scrum_board_backlog,3,28814,40944,41290,41333,41367,4122,41376,67.0,False
selenium_view_scrum_board,2,11704,11704,18633,19499,20192,3042,20365,50.0,False
selenium_view_kanban_board,2,10612,10612,18404,19378,20157,873,20352,50.0,False
selenium_view_dashboard,2,288,288,318,322,325,249,326,0.0,False
selenium_view_issue,2,572,572,587,589,591,554,591,0.0,False
selenium_project_summary,2,1796,1796,2171,2218,2256,1328,2265,0.0,False
selenium_log_out,2,345,345,374,377,380,309,381,0.0,False
