Summary run status                                                     FAIL
               
Artifacts dir                                                          2022-04-29_23-35-55 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    6.1.0 (OK: Toolkit is up to date)
Application                                                            jira 8.20.4         
Dataset info                                                           1057294 issues      
Application nodes count                                                2                   
Concurrency                                                            200                 
Expected test run duration from yml file                               2700 sec            
Actual test run duration                                               308 sec             
Finished                                                               (False, 'Actual test duration 308 sec < than expected test_duration 2700 sec.')
Compliant                                                              (False, 'Test run duration 308 sec < than minimum test duration 2700 sec.')
Success                                                                (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                                               False               

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               0.32                OK                  
jmeter_view_issue                                                      100.0               0.21                OK                  
jmeter_search_jql                                                      100.0               0.48                OK                  
jmeter_view_dashboard                                                  100.0               0.11                OK                  
jmeter_view_scrum_board                                                50.0                0.16                Fail                
jmeter_view_backlog                                                    46.0                0.35                Fail                
jmeter_create_issue:open_quick_create                                  100.0               0.08                OK                  
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.17                OK                  
jmeter_view_kanban_board                                               53.0                0.17                Fail                
jmeter_browse_projects                                                 100.0               0.06                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.12                OK                  
jmeter_edit_issue:save_edit                                            57.0                0.3                 Fail                
jmeter_view_project_summary                                            100.0               0.12                OK                  
jmeter_add_comment:open_comment                                        100.0               0.07                OK                  
jmeter_add_comment:save_comment                                        47.0                0.24                Fail                
jmeter_browse_boards                                                   67.0                0.09                Fail                
selenium_login:open_login_page                                         100.0               0.45                OK                  
selenium_login:login_and_view_dashboard                                100.0               2.55                OK                  
selenium_login                                                         100.0               3.0                 OK                  
selenium_browse_projects_list                                          100.0               0.58                OK                  
selenium_browse_boards_list                                            33.0                41.15               Fail                
selenium_create_issue:open_quick_create                                100.0               1.08                OK                  
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.59                OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.21                OK                  
selenium_create_issue                                                  100.0               2.14                OK                  
selenium_edit_issue:open_edit_issue_form                               100.0               0.98                OK                  
selenium_edit_issue:save_edit_issue_form                               100.0               0.55                OK                  
selenium_edit_issue                                                    100.0               2.06                OK                  
selenium_save_comment:open_comment_form                                100.0               0.42                OK                  
selenium_save_comment:submit_form                                      100.0               1.64                OK                  
selenium_save_comment                                                  100.0               2.11                OK                  
selenium_search_jql                                                    100.0               2.92                OK                  
selenium_view_scrum_board_backlog                                      33.0                41.29               Fail                
selenium_view_scrum_board                                              50.0                18.63               Fail                
selenium_view_kanban_board                                             50.0                18.4                Fail                
selenium_view_dashboard                                                100.0               0.32                OK                  
selenium_view_issue                                                    100.0               0.59                OK                  
selenium_project_summary                                               100.0               2.17                OK                  
selenium_log_out                                                       100.0               0.37                OK                  
