Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,325,293,434,498,696,225,1171,0.0,False
jmeter_view_dashboard,4233,66,64,78,82,95,48,269,0.0,False
jmeter_view_scrum_board,3391,84,81,97,105,150,63,1534,0.0,False
jmeter_search_jql,4666,444,435,512,545,619,333,3795,0.0,False
jmeter_view_issue,14412,159,149,188,228,328,117,4379,0.0,False
jmeter_view_backlog,2534,261,253,301,318,379,214,2079,0.0,False
jmeter_create_issue:open_quick_create,1697,56,50,64,70,176,41,620,0.0,False
jmeter_view_kanban_board,2956,103,89,168,180,206,73,399,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,148,131,213,247,320,105,4986,0.0,False
jmeter_browse_projects,3799,48,45,57,58,67,39,136,0.0,False
jmeter_edit_issue:open_editor,2114,84,81,98,106,125,65,222,0.0,False
jmeter_edit_issue:save_edit,2114,216,187,312,361,556,139,2167,0.0,False
jmeter_view_project_summary,1267,84,78,98,115,195,58,339,0.0,False
jmeter_add_comment:open_comment,841,53,51,61,64,77,43,101,0.0,False
jmeter_add_comment:save_comment,841,215,194,302,334,437,157,707,0.0,False
jmeter_browse_boards,414,53,52,61,64,77,44,136,0.0,False
selenium_login:open_login_page,236,96,92,99,101,107,82,859,0.0,False
selenium_login:login_and_view_dashboard,236,849,1047,1152,1207,1262,448,4798,0.0,False
selenium_login,236,946,1143,1246,1300,1354,536,5658,0.0,False
selenium_browse_projects_list,236,221,218,242,250,268,191,329,0.0,False
selenium_browse_boards_list,236,265,236,252,261,749,212,3869,0.0,False
selenium_create_issue:open_quick_create,236,642,639,659,669,688,489,858,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,236,611,600,609,611,617,586,3150,0.0,False
selenium_create_issue:fill_and_submit_issue_form,236,1213,1113,1164,1189,3518,1026,3599,0.0,False
selenium_create_issue,236,1856,1754,1809,1865,4153,1655,4458,0.0,False
selenium_edit_issue:open_edit_issue_form,236,590,605,645,669,790,417,1601,0.0,False
selenium_edit_issue:save_edit_issue_form,236,559,529,688,705,768,455,778,0.0,False
selenium_edit_issue,236,1449,1414,1568,1612,1732,1278,3167,0.0,False
selenium_save_comment:open_comment_form,236,387,404,452,459,471,276,478,0.0,False
selenium_save_comment:submit_form,236,689,632,758,812,1662,567,4126,0.0,False
selenium_save_comment,236,1177,1146,1260,1332,2159,970,4677,0.0,False
selenium_search_jql,236,1185,1166,1224,1248,1308,1091,4745,0.0,False
selenium_view_scrum_board_backlog,236,1031,1018,1164,1178,1227,765,3312,0.0,False
selenium_view_scrum_board,236,774,796,863,882,909,259,3274,0.0,False
selenium_view_kanban_board,236,707,660,1070,1141,1289,316,1519,0.0,False
selenium_view_dashboard,236,384,384,516,552,648,181,729,0.0,False
selenium_view_issue,236,530,536,591,608,655,415,685,0.0,False
selenium_project_summary,236,397,373,479,495,529,298,2356,0.0,False
selenium_log_out,236,291,287,323,336,378,242,424,0.0,False
