Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,39,296,281,323,367,488,259,555,0.0,False
jmeter_view_issue,28,172,168,191,193,225,153,236,0.0,False
jmeter_search_jql,9,437,387,511,659,777,363,807,0.0,False
jmeter_view_dashboard,7,76,77,81,83,85,68,85,0.0,False
jmeter_view_scrum_board,6,105,96,133,134,134,86,134,0.0,False
jmeter_view_backlog,3,302,304,317,318,320,283,320,0.0,False
jmeter_create_issue:open_quick_create,3,58,59,61,61,61,55,61,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,3,191,158,237,247,255,158,257,0.0,False
jmeter_view_kanban_board,5,128,106,172,187,199,103,202,0.0,False
jmeter_browse_projects,4,52,52,53,53,53,49,53,0.0,False
jmeter_edit_issue:open_editor,3,93,90,98,99,100,88,100,0.0,False
jmeter_edit_issue:save_edit,3,208,208,208,208,208,207,208,0.0,False
jmeter_view_project_summary,1,98,98,98,98,98,98,98,0.0,False
selenium_login:open_login_page,1,493,493,493,493,493,493,493,0.0,False
selenium_login:login_and_view_dashboard,1,1930,1930,1930,1930,1930,1930,1930,0.0,False
selenium_login,1,2424,2424,2424,2424,2424,2424,2424,0.0,False
selenium_browse_projects_list,1,243,243,243,243,243,243,243,0.0,False
selenium_browse_boards_list,1,439,439,439,439,439,439,439,0.0,False
selenium_create_issue:open_quick_create,1,598,598,598,598,598,598,598,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1,588,588,588,588,588,588,588,0.0,False
selenium_create_issue:fill_and_submit_issue_form,1,1079,1079,1079,1079,1079,1079,1079,0.0,False
selenium_create_issue,1,1677,1677,1677,1677,1677,1677,1677,0.0,False
selenium_edit_issue:open_edit_issue_form,1,756,756,756,756,756,756,756,0.0,False
selenium_edit_issue:save_edit_issue_form,1,1086,1086,1086,1086,1086,1086,1086,100.0,False
selenium_edit_issue,1,2418,2418,2418,2418,2418,2418,2418,100.0,False
selenium_save_comment:open_comment_form,1,285,285,285,285,285,285,285,0.0,False
selenium_save_comment:submit_form,1,1084,1084,1084,1084,1084,1084,1084,100.0,False
selenium_save_comment,1,1553,1553,1553,1553,1553,1553,1553,100.0,False
selenium_search_jql,1,1833,1833,1833,1833,1833,1833,1833,0.0,False
selenium_view_scrum_board_backlog,1,909,909,909,909,909,909,909,0.0,False
selenium_view_scrum_board,1,877,877,877,877,877,877,877,0.0,False
selenium_view_kanban_board,1,681,681,681,681,681,681,681,0.0,False
selenium_view_dashboard,1,487,487,487,487,487,487,487,0.0,False
selenium_view_issue,1,894,894,894,894,894,894,894,0.0,False
selenium_project_summary,1,373,373,373,373,373,373,373,0.0,False
