Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,132,830,414,1623,3699,6938,201,8088,0.0,False
jmeter_view_dashboard,66,158,116,246,282,643,67,1249,0.0,False
jmeter_create_issue:open_quick_create,29,306,85,228,265,4400,51,6007,0.0,False
jmeter_view_scrum_board,56,239,188,310,355,1263,87,2222,0.0,False
jmeter_view_issue,235,462,311,566,727,6342,165,7644,0.0,False
jmeter_view_kanban_board,42,435,172,481,504,5544,97,7750,0.0,False
jmeter_view_backlog,36,765,454,792,1222,6339,294,8724,0.0,False
jmeter_search_jql,79,899,601,973,1165,9675,405,9693,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,29,522,298,518,645,4638,155,6163,0.0,False
jmeter_browse_projects,51,87,71,141,156,251,47,261,0.0,False
jmeter_edit_issue:open_editor,31,215,145,324,353,998,97,1270,0.0,False
jmeter_edit_issue:save_edit,30,1171,904,1940,2614,4249,347,4885,0.0,False
jmeter_view_project_summary,17,191,173,286,299,314,93,318,0.0,False
jmeter_add_comment:open_comment,9,117,83,171,242,299,63,313,0.0,False
jmeter_add_comment:save_comment,9,1015,1094,1350,1419,1474,483,1488,0.0,False
jmeter_browse_boards,2,114,114,120,121,122,107,122,0.0,False
selenium_login:open_login_page,2,2099,2099,3676,3873,4031,128,4070,0.0,False
selenium_login:login_and_view_dashboard,2,2419,2419,3953,4145,4299,501,4337,0.0,False
selenium_login,2,4519,4519,7630,8019,8330,630,8408,0.0,False
selenium_browse_projects_list,2,456,456,617,637,653,254,657,0.0,False
selenium_browse_boards_list,2,2250,2250,3763,3952,4103,360,4141,0.0,False
selenium_create_issue:open_quick_create,2,1101,1101,1103,1103,1103,1099,1103,50.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1,745,745,745,745,745,745,745,0.0,False
selenium_create_issue:fill_and_submit_issue_form,1,1172,1172,1172,1172,1172,1172,1172,0.0,False
selenium_create_issue,2,1688,1688,2155,2214,2260,1103,2272,50.0,False
selenium_edit_issue:open_edit_issue_form,2,1292,1292,1673,1720,1758,816,1768,0.0,False
selenium_edit_issue:save_edit_issue_form,2,1066,1066,1081,1083,1085,1046,1085,100.0,False
selenium_edit_issue,2,2870,2870,3272,3322,3362,2369,3372,100.0,False
selenium_save_comment:open_comment_form,2,371,371,449,459,467,273,469,0.0,False
selenium_save_comment:submit_form,2,1084,1084,1086,1086,1086,1083,1086,100.0,False
selenium_save_comment,2,1834,1834,1972,1990,2004,1661,2007,100.0,False
selenium_search_jql,2,6505,6505,10701,11226,11645,1260,11750,0.0,False
selenium_view_scrum_board_backlog,2,3094,3094,4871,5093,5271,873,5315,0.0,False
selenium_view_scrum_board,2,2693,2693,4161,4344,4491,858,4528,0.0,False
selenium_view_kanban_board,2,856,856,902,907,912,800,913,0.0,False
selenium_view_dashboard,2,380,380,387,388,389,371,389,0.0,False
selenium_view_issue,2,2309,2309,2391,2401,2409,2207,2411,0.0,False
selenium_project_summary,2,1716,1716,2663,2782,2876,533,2900,0.0,False
selenium_log_out,2,1249,1249,1250,1250,1250,1248,1250,100.0,False
