Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,291,283,342,363,433,232,447,0.0,False
jmeter_view_issue,14415,164,158,186,197,302,122,555,0.0,False
jmeter_search_jql,4667,456,449,518,538,580,336,865,0.0,False
jmeter_view_dashboard,4233,76,75,90,94,103,53,217,0.0,False
jmeter_view_scrum_board,3390,111,114,149,158,179,68,431,0.0,False
jmeter_view_backlog,2533,299,296,335,348,371,250,449,0.0,False
jmeter_create_issue:open_quick_create,1697,54,51,64,66,73,44,187,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,144,141,160,167,205,120,357,0.0,False
jmeter_view_kanban_board,2956,111,96,188,202,225,79,474,0.0,False
jmeter_browse_projects,3799,51,49,60,62,67,40,132,0.0,False
jmeter_edit_issue:open_editor,2113,86,84,100,103,113,71,158,0.0,False
jmeter_edit_issue:save_edit,2113,209,195,264,318,419,157,681,0.0,False
jmeter_view_project_summary,1267,86,84,97,102,120,62,334,0.0,False
jmeter_add_comment:open_comment,841,59,57,67,70,81,48,113,0.0,False
jmeter_add_comment:save_comment,841,215,208,242,266,379,178,593,0.0,False
jmeter_browse_boards,414,57,56,64,68,72,49,77,0.0,False
selenium_login:open_login_page,208,106,103,110,114,119,94,552,0.0,False
selenium_login:login_and_view_dashboard,208,543,487,536,1141,1220,453,1239,0.0,False
selenium_login,208,650,592,637,1262,1331,556,1430,0.0,False
selenium_browse_projects_list,208,250,250,264,273,299,220,348,0.0,False
selenium_browse_boards_list,208,255,254,267,272,279,234,376,0.0,False
selenium_create_issue:open_quick_create,208,642,640,654,663,682,618,734,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,208,601,599,608,610,617,585,1100,0.0,False
selenium_create_issue:fill_and_submit_issue_form,208,1176,1106,1155,1173,3503,1003,3560,0.0,False
selenium_create_issue,208,1819,1748,1801,1821,4140,1652,4198,0.0,False
selenium_edit_issue:open_edit_issue_form,208,613,637,669,684,760,435,835,0.0,False
selenium_edit_issue:save_edit_issue_form,208,560,538,693,712,745,458,769,0.0,False
selenium_edit_issue,208,1458,1438,1576,1599,1686,1353,1769,0.0,False
selenium_save_comment:open_comment_form,208,399,402,462,470,476,284,478,0.0,False
selenium_save_comment:submit_form,208,660,637,709,818,1105,523,1358,0.0,False
selenium_save_comment,208,1158,1150,1249,1317,1664,955,1863,0.0,False
selenium_search_jql,208,1070,1066,1119,1139,1173,966,1453,0.0,False
selenium_view_scrum_board_backlog,208,1039,997,1183,1194,1231,537,1236,0.0,False
selenium_view_scrum_board,208,780,826,959,975,988,285,997,0.0,False
selenium_view_kanban_board,208,678,672,950,1079,1135,320,1287,0.0,False
selenium_view_dashboard,208,430,420,562,610,662,202,704,0.0,False
selenium_view_issue,208,529,530,591,605,638,417,668,0.0,False
selenium_project_summary,208,411,399,497,521,565,296,596,0.0,False
selenium_log_out,208,330,322,371,392,438,264,483,0.0,False
