Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,588,286,356,419,16144,247,22137,0.0,False
jmeter_view_issue,14412,173,167,194,209,293,136,816,0.0,False
jmeter_view_dashboard,4233,87,82,100,111,184,64,590,0.0,False
jmeter_search_jql,4666,443,434,495,523,617,349,1261,0.0,False
jmeter_view_scrum_board,3390,122,129,154,164,248,76,1362,0.0,False
jmeter_create_issue:open_quick_create,1697,67,63,76,81,116,54,266,0.0,False
jmeter_view_backlog,2533,347,342,389,411,497,278,2076,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,145,142,163,170,190,123,552,0.0,False
jmeter_view_kanban_board,2956,127,110,197,207,255,93,593,0.0,False
jmeter_browse_projects,3799,56,53,65,69,103,47,299,0.0,False
jmeter_edit_issue:open_editor,2113,93,87,108,116,169,77,409,0.0,False
jmeter_edit_issue:save_edit,2113,216,203,260,291,385,120,701,0.0,False
jmeter_view_project_summary,1267,102,96,114,127,189,77,549,0.0,False
jmeter_add_comment:open_comment,840,65,61,75,85,135,53,195,0.0,False
jmeter_add_comment:save_comment,840,224,217,249,266,341,186,701,0.0,False
jmeter_browse_boards,414,65,62,71,76,104,54,167,0.0,False
selenium_login:open_login_page,195,158,151,161,163,216,113,1220,0.0,False
selenium_login:login_and_view_dashboard,195,617,591,626,641,1418,464,3035,0.0,False
selenium_login,195,776,744,782,792,1620,611,4257,0.0,False
selenium_browse_projects_list,195,286,282,300,309,336,252,843,0.0,False
selenium_browse_boards_list,195,308,278,296,304,903,258,3288,0.0,False
selenium_create_issue:open_quick_create,195,647,646,664,669,690,591,763,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,195,600,600,609,611,614,588,618,0.0,False
selenium_create_issue:fill_and_submit_issue_form,195,1212,1121,1163,1184,3517,989,3546,0.0,False
selenium_create_issue,195,1860,1765,1815,1857,4168,1644,4209,0.0,False
selenium_edit_issue:open_edit_issue_form,195,652,676,716,727,849,471,1169,0.0,False
selenium_edit_issue:save_edit_issue_form,195,623,580,755,765,788,497,856,0.0,False
selenium_edit_issue,195,1573,1525,1708,1737,1850,1428,2273,0.0,False
selenium_save_comment:open_comment_form,195,407,396,488,499,515,302,530,0.0,False
selenium_save_comment:submit_form,195,685,676,710,732,904,572,1791,0.0,False
selenium_save_comment,195,1196,1177,1281,1290,1710,1030,2255,0.0,False
selenium_search_jql,195,1204,1186,1238,1258,1508,1102,2914,0.0,False
selenium_view_scrum_board_backlog,195,1100,1070,1231,1242,1379,479,3410,0.0,False
selenium_view_scrum_board,195,839,853,990,1013,1154,325,3087,0.0,False
selenium_view_kanban_board,195,724,725,971,1082,1265,357,1463,0.0,False
selenium_view_dashboard,195,433,441,579,633,676,214,717,0.0,False
selenium_view_issue,195,580,574,657,668,706,474,1561,0.0,False
selenium_project_summary,195,485,453,575,590,743,338,2542,0.0,False
selenium_log_out,195,379,371,428,471,521,310,541,0.0,False
